Entry,Name,Position,Pathways
387332,['(RefSeq) TATA-box binding protein like 2'],14q22.3,"[('hsa03022', 'Basal transcription factors'), ('hsa05016', 'Huntington disease'), ('hsa05017', 'Spinocerebellar ataxia'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05166', 'Human T-cell leukemia virus 1 infection'), ('hsa05203', 'Viral carcinogenesis')]"
6908,['(RefSeq) TATA-box binding protein'],6q27,"[('hsa03022', 'Basal transcription factors'), ('hsa05016', 'Huntington disease'), ('hsa05017', 'Spinocerebellar ataxia'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05166', 'Human T-cell leukemia virus 1 infection'), ('hsa05203', 'Viral carcinogenesis')]"
9519,['(RefSeq) TATA-box binding protein like 1'],6q23.2,"[('hsa03022', 'Basal transcription factors'), ('hsa05016', 'Huntington disease'), ('hsa05017', 'Spinocerebellar ataxia'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05166', 'Human T-cell leukemia virus 1 infection'), ('hsa05203', 'Viral carcinogenesis')]"
5700,"['(RefSeq) proteasome 26S subunit, ATPase 1']",14q32.11,"[('hsa03050', 'Proteasome'), ('hsa05010', 'Alzheimer disease'), ('hsa05012', 'Parkinson disease'), ('hsa05014', 'Amyotrophic lateral sclerosis'), ('hsa05016', 'Huntington disease'), ('hsa05017', 'Spinocerebellar ataxia'), ('hsa05020', 'Prion disease'), ('hsa05022', 'Pathways of neurodegeneration - multiple diseases'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05169', 'Epstein-Barr virus infection'), ('hsa05203', 'Viral carcinogenesis')]"
1108,['(RefSeq) chromodomain helicase DNA binding protein 4'],12p13.31,"[('hsa05165', 'Human papillomavirus infection'), ('hsa05203', 'Viral carcinogenesis')]"
3725,"['(RefSeq) Jun proto-oncogene, AP-1 transcription factor subunit']",1p32.1,"[('hsa01522', 'Endocrine resistance'), ('hsa04010', 'MAPK signaling pathway'), ('hsa04012', 'ErbB signaling pathway'), ('hsa04024', 'cAMP signaling pathway'), ('hsa04137', 'Mitophagy - animal'), ('hsa04210', 'Apoptosis'), ('hsa04310', 'Wnt signaling pathway'), ('hsa04380', 'Osteoclast differentiation'), ('hsa04510', 'Focal adhesion'), ('hsa04530', 'Tight junction'), ('hsa04620', 'Toll-like receptor signaling pathway'), ('hsa04621', 'NOD-like receptor signaling pathway'), ('hsa04625', 'C-type lectin receptor signaling pathway'), ('hsa04657', 'IL-17 signaling pathway'), ('hsa04658', 'Th1 and Th2 cell differentiation'), ('hsa04659', 'Th17 cell differentiation'), ('hsa04660', 'T cell receptor signaling pathway'), ('hsa04662', 'B cell receptor signaling pathway'), ('hsa04668', 'TNF signaling pathway'), ('hsa04722', 'Neurotrophin signaling pathway'), ('hsa04912', 'GnRH signaling pathway'), ('hsa04915', 'Estrogen signaling pathway'), ('hsa04921', 'Oxytocin signaling pathway'), ('hsa04926', 'Relaxin signaling pathway'), ('hsa04932', 'Non-alcoholic fatty liver disease'), ('hsa04933', 'AGE-RAGE signaling pathway in diabetic complications'), ('hsa05030', 'Cocaine addiction'), ('hsa05031', 'Amphetamine addiction'), ('hsa05120', 'Epithelial cell signaling in Helicobacter pylori infection'), ('hsa05130', 'Pathogenic Escherichia coli infection'), ('hsa05131', 'Shigellosis'), ('hsa05132', 'Salmonella infection'), ('hsa05133', 'Pertussis'), ('hsa05135', 'Yersinia infection'), ('hsa05140', 'Leishmaniasis'), ('hsa05142', 'Chagas disease'), ('hsa05161', 'Hepatitis B'), ('hsa05162', 'Measles'), ('hsa05166', 'Human T-cell leukemia virus 1 infection'), ('hsa05167', 'Kaposi sarcoma-associated herpesvirus infection'), ('hsa05169', 'Epstein-Barr virus infection'), ('hsa05170', 'Human immunodeficiency virus 1 infection'), ('hsa05171', 'Coronavirus disease - COVID-19'), ('hsa05200', 'Pathways in cancer'), ('hsa05203', 'Viral carcinogenesis'), ('hsa05207', 'Chemical carcinogenesis - receptor activation'), ('hsa05208', 'Chemical carcinogenesis - reactive oxygen species'), ('hsa05210', 'Colorectal cancer'), ('hsa05211', 'Renal cell carcinoma'), ('hsa05224', 'Breast cancer'), ('hsa05231', 'Choline metabolism in cancer'), ('hsa05235', 'PD-L1 expression and PD-1 checkpoint pathway in cancer'), ('hsa05321', 'Inflammatory bowel disease'), ('hsa05323', 'Rheumatoid arthritis'), ('hsa05417', 'Lipid and atherosclerosis'), ('hsa05418', 'Fluid shear stress and atherosclerosis')]"
10379,['(RefSeq) interferon regulatory factor 9'],14q12,"[('hsa04217', 'Necroptosis'), ('hsa04380', 'Osteoclast differentiation'), ('hsa04621', 'NOD-like receptor signaling pathway'), ('hsa04625', 'C-type lectin receptor signaling pathway'), ('hsa04630', 'JAK-STAT signaling pathway'), ('hsa05160', 'Hepatitis C'), ('hsa05162', 'Measles'), ('hsa05164', 'Influenza A'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05167', 'Kaposi sarcoma-associated herpesvirus infection'), ('hsa05168', 'Herpes simplex virus 1 infection'), ('hsa05169', 'Epstein-Barr virus infection'), ('hsa05171', 'Coronavirus disease - COVID-19'), ('hsa05203', 'Viral carcinogenesis')]"
7157,['(RefSeq) tumor protein p53'],17p13.1,"[('hsa01522', 'Endocrine resistance'), ('hsa01524', 'Platinum drug resistance'), ('hsa04010', 'MAPK signaling pathway'), ('hsa04071', 'Sphingolipid signaling pathway'), ('hsa04110', 'Cell cycle'), ('hsa04115', 'p53 signaling pathway'), ('hsa04137', 'Mitophagy - animal'), ('hsa04151', 'PI3K-Akt signaling pathway'), ('hsa04210', 'Apoptosis'), ('hsa04211', 'Longevity regulating pathway'), ('hsa04216', 'Ferroptosis'), ('hsa04218', 'Cellular senescence'), ('hsa04310', 'Wnt signaling pathway'), ('hsa04722', 'Neurotrophin signaling pathway'), ('hsa04919', 'Thyroid hormone signaling pathway'), ('hsa05012', 'Parkinson disease'), ('hsa05014', 'Amyotrophic lateral sclerosis'), ('hsa05016', 'Huntington disease'), ('hsa05131', 'Shigellosis'), ('hsa05160', 'Hepatitis C'), ('hsa05161', 'Hepatitis B'), ('hsa05162', 'Measles'), ('hsa05163', 'Human cytomegalovirus infection'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05166', 'Human T-cell leukemia virus 1 infection'), ('hsa05167', 'Kaposi sarcoma-associated herpesvirus infection'), ('hsa05168', 'Herpes simplex virus 1 infection'), ('hsa05169', 'Epstein-Barr virus infection'), ('hsa05200', 'Pathways in cancer'), ('hsa05202', 'Transcriptional misregulation in cancer'), ('hsa05203', 'Viral carcinogenesis'), ('hsa05205', 'Proteoglycans in cancer'), ('hsa05206', 'MicroRNAs in cancer'), ('hsa05210', 'Colorectal cancer'), ('hsa05212', 'Pancreatic cancer'), ('hsa05213', 'Endometrial cancer'), ('hsa05214', 'Glioma'), ('hsa05215', 'Prostate cancer'), ('hsa05216', 'Thyroid cancer'), ('hsa05217', 'Basal cell carcinoma'), ('hsa05218', 'Melanoma'), ('hsa05219', 'Bladder cancer'), ('hsa05220', 'Chronic myeloid leukemia'), ('hsa05222', 'Small cell lung cancer'), ('hsa05223', 'Non-small cell lung cancer'), ('hsa05224', 'Breast cancer'), ('hsa05225', 'Hepatocellular carcinoma'), ('hsa05226', 'Gastric cancer'), ('hsa05230', 'Central carbon metabolism in cancer'), ('hsa05417', 'Lipid and atherosclerosis'), ('hsa05418', 'Fluid shear stress and atherosclerosis')]"
7157,['(RefSeq) tumor protein p53'],17p13.1,"[('hsa01522', 'Endocrine resistance'), ('hsa01524', 'Platinum drug resistance'), ('hsa04010', 'MAPK signaling pathway'), ('hsa04071', 'Sphingolipid signaling pathway'), ('hsa04110', 'Cell cycle'), ('hsa04115', 'p53 signaling pathway'), ('hsa04137', 'Mitophagy - animal'), ('hsa04151', 'PI3K-Akt signaling pathway'), ('hsa04210', 'Apoptosis'), ('hsa04211', 'Longevity regulating pathway'), ('hsa04216', 'Ferroptosis'), ('hsa04218', 'Cellular senescence'), ('hsa04310', 'Wnt signaling pathway'), ('hsa04722', 'Neurotrophin signaling pathway'), ('hsa04919', 'Thyroid hormone signaling pathway'), ('hsa05012', 'Parkinson disease'), ('hsa05014', 'Amyotrophic lateral sclerosis'), ('hsa05016', 'Huntington disease'), ('hsa05131', 'Shigellosis'), ('hsa05160', 'Hepatitis C'), ('hsa05161', 'Hepatitis B'), ('hsa05162', 'Measles'), ('hsa05163', 'Human cytomegalovirus infection'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05166', 'Human T-cell leukemia virus 1 infection'), ('hsa05167', 'Kaposi sarcoma-associated herpesvirus infection'), ('hsa05168', 'Herpes simplex virus 1 infection'), ('hsa05169', 'Epstein-Barr virus infection'), ('hsa05200', 'Pathways in cancer'), ('hsa05202', 'Transcriptional misregulation in cancer'), ('hsa05203', 'Viral carcinogenesis'), ('hsa05205', 'Proteoglycans in cancer'), ('hsa05206', 'MicroRNAs in cancer'), ('hsa05210', 'Colorectal cancer'), ('hsa05212', 'Pancreatic cancer'), ('hsa05213', 'Endometrial cancer'), ('hsa05214', 'Glioma'), ('hsa05215', 'Prostate cancer'), ('hsa05216', 'Thyroid cancer'), ('hsa05217', 'Basal cell carcinoma'), ('hsa05218', 'Melanoma'), ('hsa05219', 'Bladder cancer'), ('hsa05220', 'Chronic myeloid leukemia'), ('hsa05222', 'Small cell lung cancer'), ('hsa05223', 'Non-small cell lung cancer'), ('hsa05224', 'Breast cancer'), ('hsa05225', 'Hepatocellular carcinoma'), ('hsa05226', 'Gastric cancer'), ('hsa05230', 'Central carbon metabolism in cancer'), ('hsa05417', 'Lipid and atherosclerosis'), ('hsa05418', 'Fluid shear stress and atherosclerosis')]"
836,['(RefSeq) caspase 3'],4q35.1,"[('hsa01524', 'Platinum drug resistance'), ('hsa04010', 'MAPK signaling pathway'), ('hsa04115', 'p53 signaling pathway'), ('hsa04210', 'Apoptosis'), ('hsa04215', 'Apoptosis - multiple species'), ('hsa04650', 'Natural killer cell mediated cytotoxicity'), ('hsa04657', 'IL-17 signaling pathway'), ('hsa04668', 'TNF signaling pathway'), ('hsa04726', 'Serotonergic synapse'), ('hsa04932', 'Non-alcoholic fatty liver disease'), ('hsa04933', 'AGE-RAGE signaling pathway in diabetic complications'), ('hsa04936', 'Alcoholic liver disease'), ('hsa05010', 'Alzheimer disease'), ('hsa05012', 'Parkinson disease'), ('hsa05014', 'Amyotrophic lateral sclerosis'), ('hsa05016', 'Huntington disease'), ('hsa05020', 'Prion disease'), ('hsa05022', 'Pathways of neurodegeneration - multiple diseases'), ('hsa05120', 'Epithelial cell signaling in Helicobacter pylori infection'), ('hsa05130', 'Pathogenic Escherichia coli infection'), ('hsa05132', 'Salmonella infection'), ('hsa05133', 'Pertussis'), ('hsa05134', 'Legionellosis'), ('hsa05145', 'Toxoplasmosis'), ('hsa05146', 'Amoebiasis'), ('hsa05152', 'Tuberculosis'), ('hsa05160', 'Hepatitis C'), ('hsa05161', 'Hepatitis B'), ('hsa05162', 'Measles'), ('hsa05163', 'Human cytomegalovirus infection'), ('hsa05164', 'Influenza A'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05167', 'Kaposi sarcoma-associated herpesvirus infection'), ('hsa05168', 'Herpes simplex virus 1 infection'), ('hsa05169', 'Epstein-Barr virus infection'), ('hsa05170', 'Human immunodeficiency virus 1 infection'), ('hsa05200', 'Pathways in cancer'), ('hsa05203', 'Viral carcinogenesis'), ('hsa05205', 'Proteoglycans in cancer'), ('hsa05206', 'MicroRNAs in cancer'), ('hsa05210', 'Colorectal cancer'), ('hsa05222', 'Small cell lung cancer'), ('hsa05416', 'Viral myocarditis'), ('hsa05417', 'Lipid and atherosclerosis')]"
841,['(RefSeq) caspase 8'],2q33.1,"[('hsa01524', 'Platinum drug resistance'), ('hsa04115', 'p53 signaling pathway'), ('hsa04210', 'Apoptosis'), ('hsa04215', 'Apoptosis - multiple species'), ('hsa04217', 'Necroptosis'), ('hsa04620', 'Toll-like receptor signaling pathway'), ('hsa04621', 'NOD-like receptor signaling pathway'), ('hsa04622', 'RIG-I-like receptor signaling pathway'), ('hsa04625', 'C-type lectin receptor signaling pathway'), ('hsa04657', 'IL-17 signaling pathway'), ('hsa04668', 'TNF signaling pathway'), ('hsa04932', 'Non-alcoholic fatty liver disease'), ('hsa04936', 'Alcoholic liver disease'), ('hsa05010', 'Alzheimer disease'), ('hsa05016', 'Huntington disease'), ('hsa05022', 'Pathways of neurodegeneration - multiple diseases'), ('hsa05130', 'Pathogenic Escherichia coli infection'), ('hsa05132', 'Salmonella infection'), ('hsa05134', 'Legionellosis'), ('hsa05142', 'Chagas disease'), ('hsa05145', 'Toxoplasmosis'), ('hsa05152', 'Tuberculosis'), ('hsa05160', 'Hepatitis C'), ('hsa05161', 'Hepatitis B'), ('hsa05162', 'Measles'), ('hsa05163', 'Human cytomegalovirus infection'), ('hsa05164', 'Influenza A'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05167', 'Kaposi sarcoma-associated herpesvirus infection'), ('hsa05168', 'Herpes simplex virus 1 infection'), ('hsa05169', 'Epstein-Barr virus infection'), ('hsa05170', 'Human immunodeficiency virus 1 infection'), ('hsa05200', 'Pathways in cancer'), ('hsa05203', 'Viral carcinogenesis'), ('hsa05416', 'Viral myocarditis'), ('hsa05417', 'Lipid and atherosclerosis')]"
8517,['(RefSeq) inhibitor of nuclear factor kappa B kinase regulatory subunit gamma'],Xq28,"[('hsa01523', 'Antifolate resistance'), ('hsa04010', 'MAPK signaling pathway'), ('hsa04014', 'Ras signaling pathway'), ('hsa04062', 'Chemokine signaling pathway'), ('hsa04064', 'NF-kappa B signaling pathway'), ('hsa04151', 'PI3K-Akt signaling pathway'), ('hsa04210', 'Apoptosis'), ('hsa04380', 'Osteoclast differentiation'), ('hsa04620', 'Toll-like receptor signaling pathway'), ('hsa04621', 'NOD-like receptor signaling pathway'), ('hsa04622', 'RIG-I-like receptor signaling pathway'), ('hsa04623', 'Cytosolic DNA-sensing pathway'), ('hsa04625', 'C-type lectin receptor signaling pathway'), ('hsa04657', 'IL-17 signaling pathway'), ('hsa04658', 'Th1 and Th2 cell differentiation'), ('hsa04659', 'Th17 cell differentiation'), ('hsa04660', 'T cell receptor signaling pathway'), ('hsa04662', 'B cell receptor signaling pathway'), ('hsa04668', 'TNF signaling pathway'), ('hsa04920', 'Adipocytokine signaling pathway'), ('hsa04936', 'Alcoholic liver disease'), ('hsa05010', 'Alzheimer disease'), ('hsa05120', 'Epithelial cell signaling in Helicobacter pylori infection'), ('hsa05130', 'Pathogenic Escherichia coli infection'), ('hsa05131', 'Shigellosis'), ('hsa05132', 'Salmonella infection'), ('hsa05135', 'Yersinia infection'), ('hsa05142', 'Chagas disease'), ('hsa05145', 'Toxoplasmosis'), ('hsa05160', 'Hepatitis C'), ('hsa05161', 'Hepatitis B'), ('hsa05162', 'Measles'), ('hsa05163', 'Human cytomegalovirus infection'), ('hsa05164', 'Influenza A'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05166', 'Human T-cell leukemia virus 1 infection'), ('hsa05167', 'Kaposi sarcoma-associated herpesvirus infection'), ('hsa05168', 'Herpes simplex virus 1 infection'), ('hsa05169', 'Epstein-Barr virus infection'), ('hsa05170', 'Human immunodeficiency virus 1 infection'), ('hsa05171', 'Coronavirus disease - COVID-19'), ('hsa05200', 'Pathways in cancer'), ('hsa05203', 'Viral carcinogenesis'), ('hsa05208', 'Chemical carcinogenesis - reactive oxygen species'), ('hsa05212', 'Pancreatic cancer'), ('hsa05215', 'Prostate cancer'), ('hsa05220', 'Chronic myeloid leukemia'), ('hsa05221', 'Acute myeloid leukemia'), ('hsa05222', 'Small cell lung cancer'), ('hsa05235', 'PD-L1 expression and PD-1 checkpoint pathway in cancer'), ('hsa05340', 'Primary immunodeficiency'), ('hsa05417', 'Lipid and atherosclerosis'), ('hsa05418', 'Fluid shear stress and atherosclerosis')]"
581,"['(RefSeq) BCL2 associated X, apoptosis regulator']",19q13.33,"[('hsa01521', 'EGFR tyrosine kinase inhibitor resistance'), ('hsa01522', 'Endocrine resistance'), ('hsa01524', 'Platinum drug resistance'), ('hsa04071', 'Sphingolipid signaling pathway'), ('hsa04115', 'p53 signaling pathway'), ('hsa04141', 'Protein processing in endoplasmic reticulum'), ('hsa04210', 'Apoptosis'), ('hsa04211', 'Longevity regulating pathway'), ('hsa04215', 'Apoptosis - multiple species'), ('hsa04217', 'Necroptosis'), ('hsa04722', 'Neurotrophin signaling pathway'), ('hsa04932', 'Non-alcoholic fatty liver disease'), ('hsa04933', 'AGE-RAGE signaling pathway in diabetic complications'), ('hsa05012', 'Parkinson disease'), ('hsa05014', 'Amyotrophic lateral sclerosis'), ('hsa05016', 'Huntington disease'), ('hsa05020', 'Prion disease'), ('hsa05022', 'Pathways of neurodegeneration - multiple diseases'), ('hsa05130', 'Pathogenic Escherichia coli infection'), ('hsa05131', 'Shigellosis'), ('hsa05132', 'Salmonella infection'), ('hsa05152', 'Tuberculosis'), ('hsa05160', 'Hepatitis C'), ('hsa05161', 'Hepatitis B'), ('hsa05162', 'Measles'), ('hsa05163', 'Human cytomegalovirus infection'), ('hsa05164', 'Influenza A'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05166', 'Human T-cell leukemia virus 1 infection'), ('hsa05167', 'Kaposi sarcoma-associated herpesvirus infection'), ('hsa05168', 'Herpes simplex virus 1 infection'), ('hsa05169', 'Epstein-Barr virus infection'), ('hsa05170', 'Human immunodeficiency virus 1 infection'), ('hsa05200', 'Pathways in cancer'), ('hsa05202', 'Transcriptional misregulation in cancer'), ('hsa05203', 'Viral carcinogenesis'), ('hsa05210', 'Colorectal cancer'), ('hsa05212', 'Pancreatic cancer'), ('hsa05213', 'Endometrial cancer'), ('hsa05214', 'Glioma'), ('hsa05216', 'Thyroid cancer'), ('hsa05217', 'Basal cell carcinoma'), ('hsa05218', 'Melanoma'), ('hsa05220', 'Chronic myeloid leukemia'), ('hsa05222', 'Small cell lung cancer'), ('hsa05223', 'Non-small cell lung cancer'), ('hsa05224', 'Breast cancer'), ('hsa05225', 'Hepatocellular carcinoma'), ('hsa05226', 'Gastric cancer'), ('hsa05417', 'Lipid and atherosclerosis')]"
